Adams,Adams,adams
"Adams, P.",Adams,adams-p
Alexander,Alexander,alexander
Anfosso,Anfosso,anfosso
Applegate,Applegate,applegate
Apps,Apps,apps
Baker,Baker,baker
Barth,Barth,barth
Bearce,Bearce,bearce
Bechtold,Bechtold,bechtold
Benz,Benz,benz
Benzinger,Benzinger,benzinger
Biery,Biery,biery
Billingslea,Billingslea,billingslea
Blakely,Blakely,blakely
Blyth,Blyth,blyth
Branch,Branch,branch
Branham,Branham,branham
Brooks,Brooks,brooks
"Brooks, B.",Brooks,brooks-b
"Brooks, H.",Brooks,brooks-h
Brown,Brown,brown
"Brown, B.",Brown,brown-b
"Brown, E.C.",Brown,brown-e-c
"Brown, E.W.",Brown,brown-e-w
Bryant,Bryant,bryant
Burkey,Burkey,burkey
Carpenter,Carpenter,carpenter
"Carpenter, J.",Carpenter,carpenter-j
"Carpenter, K.",Carpenter,carpenter-k
Carr,Carr,carr
Carter,Carter,carter
Chesnick,Chesnick,chesnick
"Chesnik, J.",Chesnik,chesnik-j
Childs,Childs,childs
"Childs, F.",Childs,childs-f
Claar,Claar,claar
Cobb,Cobb,cobb
Coe,Coe,coe
Connell,Connell,connell
Copenhaver,Copenhaver,copenhaver
Crandall,Crandall,crandall
Crochet,Crochet,crochet
Crocker,Crocker,crocker
Crowell,Crowell,crowell
Cruse,Cruse,cruse
Cunningham,Cunningham,cunningham
Davidson,Davidson,davidson
DeKerlegand,DeKerlegand,dekerlegand
Dougherty,Dougherty,dougherty
Douglas,Douglas,douglas
Dove,Dove,dove
Downie,Downie,downie
Dunbar,Dunbar,dunbar
Durio,Durio,durio
"Durio, A.",Durio,durio-a
Elliot,Elliot,elliot
Fass,Fass,fass
Fay,Fay,fay
Ferguson,Ferguson,ferguson
Ferrick,Ferrick,ferrick
Ferris,Ferris,ferris
"Ferris, R.",Ferris,ferris-r
Fischer,Fischer,fischer
"Fischer, H.A.",Fischer,fischer-h-a
Flory,Flory,flory
Franklin,Franklin,franklin
Gage,Gage,gage
Gates,Gates,gates
"Gates, L.",Gates,gates-l
Glidden,Glidden,glidden
Goldner,Goldner,goldner
Gossard,Gossard,gossard
Gould,Gould,gould
Grace,Grace,grace
Griesback,Griesback,griesback
Grooms,Grooms,grooms
Grovatt,Grovatt,grovatt
Guidry,Guidry,guidry
Guillory,Guillory,guillory
Hager,Hager,hager
Hall,Hall,hall
"Hall, D.F.",Hall,hall-d-f
Hansen,Hansen,hansen
"Hansen, D.",Hansen,hansen-d
"Hansen, L.P.",Hansen,hansen-l-p
"Hansen, R.",Hansen,hansen-r
Hanson,Hanson,hanson
"Hanson, C.",Hanson,hanson-c
Hardy,Hardy,hardy
Harling,Harling,harling
Harris,Harris,harris
Harry,Harry,harry
Haywood,Haywood,haywood
"Haywood, M.",Haywood,haywood-m
Hein,Hein,hein
Hendricks,Hendricks,hendricks
Henry,Henry,henry
"Herrington, H.",Herrington,herrington-h
Himmotu,Himmotu,himmotu
Hirsbrunner,Hirsbrunner,hirsbrunner
Hite,Hite,hite
"Holley, B.",Holley,holley-b
Hudson,Hudson,hudson
Hughes,Hughes,hughes
Irish,Irish,irish
Jablonski,Jablonski,jablonski
Jinkerson,Jinkerson,jinkerson
Joiner,Joiner,joiner
"Joiner, J.",Joiner,joiner-j
Kaskel,Kaskel,kaskel
Kennedy,Kennedy,kennedy
King,King,king
"King, M.",King,king-m
Kinnebrew,Kinnebrew,kinnebrew
"Kinnebrew, J.",Kinnebrew,kinnebrew-j
Kirchhoff,Kirchhoff,kirchhoff
"Kirchhoff, D.",Kirchhoff,kirchhoff-d
Klehm,Klehm,klehm
Knower,Knower,knower
Koffler,Koffler,koffler
Kraus,Kraus,kraus
Lachman,Lachman,lachman
Lake,Lake,lake
Lambert,Lambert,lambert
Lambertson,Lambertson,lambertson
Lamone,Lamone,lamone
Lankart,Lankart,lankart
Laprise,Laprise,laprise
LeFever,LeFever,lefever
Lemoine,Lemoine,lemoine
Lenington,Lenington,lenington
"Lenington, G.",Lenington,lenington-g
Lester,Lester,lester
Lewis,Lewis,lewis
Lytton,Lytton,lytton
MacMillan,MacMillan,macmillan
Mahieu,Mahieu,mahieu
Marsh,Marsh,marsh
Marshall,Marshall,marshall
"Marshall, B.",Marshall,marshall-b
Maxwell,Maxwell,maxwell
"Maxwell, T.",Maxwell,maxwell-t
McDade,McDade,mcdade
McDonell,McDonell,mcdonell
Mead,Mead,mead
Mederer,Mederer,mederer
Miller,Miller,miller
Millikan,Millikan,milikan
"Millikan, B.",Millikan,millikan-b
Mills,Mills,mills
Moldovan,Moldovan,moldovan
Moody,Moody,moody
Morss,Morss,morss
"Munson, I.",Munson,munson-i
"Munson, R.W.",Munson,munson-r-w
"Murphy, J.P.",Murphy,murphy-j-p
"Nelson, H.E.",Nelson,nelson-h-e
Nesmith,Nesmith,nesmith
Nunan,Nunan,nunan
Oakes,Oakes,oakes
Oaks,Oaks,oaks
Owen,Owen,owen
"Owen, P.",Owen,owen-p
Parker,Parker,parker
"Payne, L.H.",Payne,payne-l-h
Peck,Peck,peck
"Peirce, N.",Peirce,peirce-n
Petit,Petit,petit
Petree,Petree,petree
Pettus,Pettus,pettus
Pierce,Pierce,pierce
Powell,Powell,powell
"Powell, L.K.",Powell,powell-l-k
Randall,Randall,randall
Rasmussen,Rasmussen,rasmussen
Reckamp,Reckamp,reckamp
Reed,Reed,reed
Reeve,Reeve,reeve
Reilly,Reilly,reilly
Reinke,Reinke,reinke
"Reinke, J.",Reinke,reinke-j
Roberts,Roberts,roberts
"Roberts, N.",Roberts,roberts-n
Robertson,Robertson,robertson
Romine,Romine,romine
Russell,Russell,russell
Ryder,Ryder,ryder
Salter,Salter,salter
"Salter, E.",Salter,salter-e
"Salter, E.H.",Salter,salter-e-h
Santa Lucia,Santa Lucia,santa lucia
Sass,Sass,sass
Saxton,Saxton,saxton
Schaben,Schaben,schaben
Schott,Schott,schott
"Searle, C.",Searle,searle-c
Seawright,Seawright,seawright
Sellers,Sellers,sellers
Sholar,Sholar,sholar
Shooter,Shooter,shooter
"Shooter, E.",Shooter,shooter-e
"Shooter, F.",Shooter,shooter-f
Sikes,Sikes,sikes
Silver,Silver,silver
Simpers,Simpers,simpers
Skene,Skene,skene
Smith,Smith,smith
"Smith, F.",Smith,smith-f
"Smith, S.P.",Smith,smith-s-p
"Smith, W.H.",Smith,smith-w-h
Soules,Soules,soules
Spalding,Spalding,spalding
"Spalding, W.",Spalding,spalding-w
"Spalding, W.M.",Spalding,spalding-w-m
Stamile,Stamile,stamile
"Stamile, G.",Stamile,stamile-g
Stevens,Stevens,stevens
"Stevens, D.",Stevens,stevens-d
Stout,Stout,stout
Talbott,Talbott,talbott
Tamberg,Tamberg,tamberg
"Tanner, M.",Tanner,tanner-m
Tarrant,Tarrant,tarrant
Taylor,Taylor,taylor
Temple,Temple,temple
Terry,Terry,terry
Thomas,Thomas,thomas
Trimmer,Trimmer,trimmer
Varner,Varner,varner
Warner,Warner,warner
Webster,Webster,webster
Wedgeworth,Wedgeworth,wedgeworth
Weston,Weston,weston
"Weston, J.",Weston,weston-j
Whatley,Whatley,whatley
Wheeler,Wheeler,wheeler
"Wheeler, B.",Wheeler,wheeler-b
Whitacre,Whitacre,whitacre
Wild,Wild,wild
Williams,Williams,williams
"Williams, J.",Williams,williams-j
Williamson,Williamson,williamson
Wilson,Wilson,wilson
"Wilson, T.",Wilson,wilson-t
Winniford,Winniford,winniford
Wyers,Wyers,wyers
"Wyers, J.",Wyers,wyers-j
Yancey,Yancey,yancey
"Yancey, C.",Yancey,yancey-c
"Young, J.",Young,young-j
