"1","Ablazing Rimfire","2019","large","Brown, E.W.","brown-e-w","1988","Ruffled red with a thin gold edge.","36","6","t","e","m,l","4.50","1","9"
"2","Absolute Zero","0","large","Millikan, B.","millikan-b","1986","A beautifully formed near white flower with a green throat.","20","5","d","s","m","5.00","1","10"
"3","Airs and Graces","0","large","Lytton","lytton","2000","A gently ruffled creamy lemon colour with a green throat. Produces many flowers.","25","5","t","s","e,m","7.00","1","6"
"4","Alan Adair","0","large","Millikan, B.","millikan-b","1991","A well proportioned plant with ruby red flowers","28","5","t","d","m,l","5.00","1","4"
"5","Alec Allen","0","large","Carpenter, K.","carpenter-k","1983","Round and ruffled creamy yellow flowers which open flat and are produced in abundance","26","6","d","e","e,m","4.00","1","9"
"6","All American Chief","2018","large","Sellers","sellers","1994","This huge, bright red daylily is always in demand. Stout Medal winner in 2008.","32","9","t","d","e,m","10.00","1","10"
"7","All American Tiger","0","large","Stamile","stamile","1994","Burnt orange with a glowing red eye and a picotee edge in warmer weather.","24","6","t","e","m","6.00","1","10"
"8","All Fired Up","0","large","Stamile","stamile","1996","A peachy orange flower with a contrasting red eyezone and matching picotee edge.","20","6","t","e","e,m","6.00","1","8"
"9","All the Magic","0","large","Salter","salter","1996","This beauty has very ruffled gold edges on petals of a yellow and creamy apricot blend.","26","6","t","s","e,m","6.50","1","7"
"10","Almond Puff","0","large","Stamile","stamile","1990","Big, full, buff pink double flowers","23","7","t","d","m","6.50","1","6"
"11","Always Afternoon","0","large","Morss","morss","1987","A round, ruffled,mauve-lavender flower with a striking deep purple eyezone ","22","6","t","s","e,m","5.50","1","7"
"12","Amadeus","0","large","Kirchhoff, D.","kirchhoff-d","1981","Scarlet with a yellow green throat and of round and lightly ruffled form. A good reliable performer, famed for breeding high quality reds.","26","6","t","s","e,m","4.50","0","0"
"13","American Freedom","0","large","Grace-Smith","grace-smith","2003","A sumptuous,extravagently ruffled, cream peach blend with a green throat. A wide gold edge surrounds this stunning flower.","28","6","t","s","e","10.50","1","8"
"14","American Revolution","0","large","Wild","wild","1972","A velvety, dark wine red with a yellow throat and small green heart.One of the best near blacks for the UK climate.","28","6","d","d","m","4.00","1","4"
