"1","Ablazing Rimfire","2019","large","1988","Brown, E.W.","Ruffled red with a thin gold edge.","36","6","t","e","m,l","4.50","1","9"
"2","Absolute Zero","0","large","1986","Millikan, B.","A beautifully formed near white flower with a green throat.","20","5","d","s","m","5.00","1","10"
"3","Airs and Graces","0","large","2000","Lytton","A gently ruffled creamy lemon colour with a green throat. Produces many flowers.","25","5","t","s","e,m","7.00","1","6"
"4","Alan Adair","0","large","1991","Millikan, B.","A well proportioned plant with ruby red flowers","28","5","t","d","m,l","5.00","1","4"
"5","Alec Allen","0","large","1983","Carpenter, K.","Round and ruffled creamy yellow flowers which open flat and are produced in abundance","26","6","d","e","e,m","4.00","1","9"
"6","All American Chief","2018","large","1994","Sellers","This huge, bright red daylily is always in demand. Stout Medal winner in 2008.","32","9","t","d","e,m","10.00","1","10"
"7","All American Tiger","0","large","1994","Stamile","Burnt orange with a glowing red eye and a picotee edge in warmer weather.","24","6","t","e","m","6.00","1","10"
"8","All Fired Up","0","large","1996","Stamile","A peachy orange flower with a contrasting red eyezone and matching picotee edge.","20","6","t","e","e,m","6.00","1","8"
"9","All the Magic","0","large","1996","Salter","This beauty has very ruffled gold edges on petals of a yellow and creamy apricot blend.","26","6","t","s","e,m","6.50","1","7"
"10","Almond Puff","0","large","1990","Stamile","Big, full, buff pink double flowers","23","7","t","d","m","6.50","1","6"
"11","Always Afternoon","0","large","1987","Morss","A round, ruffled,mauve-lavender flower with a striking deep purple eyezone ","22","6","t","s","e,m","5.50","1","7"
"12","Amadeus","0","large","1981","Kirchhoff, D.","Scarlet with a yellow green throat and of round and lightly ruffled form. A good reliable performer, famed for breeding high quality reds.","26","6","t","s","e,m","4.50","0","0"
"13","American Freedom","0","large","2003","Grace-Smith","A sumptuous,extravagently ruffled, cream peach blend with a green throat. A wide gold edge surrounds this stunning flower.","28","6","t","s","e","10.50","1","8"
"14","American Revolution","0","large","1972","Wild ","A velvety, dark wine red with a yellow throat and small green heart.One of the best near blacks for the UK climate.","28","6","d","d","m","4.00","1","4"
"15","America's Most Wanted","2018","large","1997","Carr","A beautifully ruffled, creamy golden yellow flower with a green throat.","27","6","t","e","e","8.00","1","8"
"16","Anastasia","0","large","1985","Salter","An early introduction from Jeff Salter, this unique yellow daylily has a lime green throat and a pleated, almost sculpted form.","20","7","t","e","m","6.50","1","8"
"17","Ann Kelley","0","large","1983","Webster","Ruffled deep rose pink with a long blooming season. An outstanding performer that explodes with flowers when established.","28","6","t","s","e,m","5.00","1","1"
"18","Annie Golightly","0","large","1974","Hughes","Bright,almost 'fire engine red' flowers. A vigorous grower and good garden plant.","28","6","t","s","m","4.50","1","10"
"19","Antique Rose","0","large","1987","Sikes","A beautiful, delicate looking rose-pink bitone. The colour deepens towards the lavishly ruffled petal edges while the sepals are a lighter shade of pink.","25","6","d","s","m","6.50","0","0"
"20","Apache Uprising","0","large","1991","Benz","Ruffled scarlet flowers are carried high on sturdy, well branched scapes giving a wonderful late season display.","34","6","t","d","l","6.50","1","7"
"21","Apollodorus","0","large","1984","Munson, R.W.","Violet purple flowers of exceptional clarity, usually larger than registered. They are triangular in form and somewhat unruly in cool weather-but thr colour is irresistible.","28","5","t","e","m,l","4.50","1","10"
"22","Apple Tart","0","large","1974","Hughes","Bright apple red flowers that really stand out in the garden.","28","6","t","d","e,m","4.00","1","3"
"23","April in Paris","2018","large","1992","Moldovan","Cream pink with a rose pink eyezone, a yellow green throat and a deep green heart. A gold edge is apparent in warmer weather.","22","5","t","d","e","7.50","1","10"
"24","Aquamarine","0","large","1983","Lambert","An exquisite star shaped flower, renowned for its colour of blue influenced lavender.","28","7","d","d","e,m","7.50","1","5"
"25","Arctic Snow","0","large","1986","Stamile","A creamy near white flower with contrasting black anthers. Always in demand.","23","6","t","d","m","5.00","0","0"
"26","Arpeggio","0","large","1978","Kirchhoff, D.","Palest cream pink double flowers.","20","5","d","s","m","5.00","1","6"
"27","Arthur Moore","0","large","1979","Henry","Round and ruffled blooms of a soft apricot to pastel orange in colour.","24","6","d","d","m","4.00","1","5"
"28","Aten","0","large","1951","Kraus","An intense golden-orange colour, this flower shines out like a beacon.","30","5","d","d","m,l","3.50","1","10"
"29","Atlanta Bouquet","0","large","1985","Petree","Pretty flowers of pale yellow with lightly pleated petals and a yellow green throat.","27","6","t","e","m","5.00","1","10"
"30","Atlanta Cover Girl","0","large","1984","Petree","A light peach pink blend with ruffled petals edged in gold. A rose pink halo surrounds the yellow green throat.","27","6","t","s","m","5.00","1","5"
"31","Atlanta Fringe Benefit","0","large","1985","Petree","A full formed bright yellow flower with a remarkable fringed edge.","21","5","t","d","e,m","5.00","1","10"
"32","Atlanta Full House","0","large","1984","Petree","A full, rounded and slightly recurved lemon yellow flower with a green heart. A class act.","27","7","t","d","m","5.00","1","10"
"33","August Frost","0","large","1995","Trimmer","A near white flower with a yellow to green throat and a gold wire edge. Always popular. ","34","6","t","d","l","8.50","1","4"
"34","Autumn Wood","0","large","1991","Dougherty","These ruffled flowers are an exquisite blend of peach pink and yellow hues.","24","6","d","d","m","7.00","1","8"
"35","Ava Michelle","0","large","1960","Flory","A rich yellow flower with a green throat. Fragrant. Stout Medal winner 1970.","18","6","d","s","e,m","3.50","1","4"
"36","Awakening Dream","0","large","1995","Stamile","This flower is a creamy yellow with a striking purple eye and a purple picotee edge.","26","5","t","e","m","6.50","1","6"
"37","Awash with Colour","0","large","1994","Stamile","A blend of rose pink and mauve these are full, very ruffled flowers","32","6","t","e","m","5.00","1","10"
"38","Aztec Furnace","0","large","1987","Stamile","This daylily is a fiery blend of burnt orange and russet red.","27","5","t","d","e,m","4.00","1","4"
"39","Bandit Man","2018","large","1979","Stevens","A burnt orange flower with a bold red eye and a gold throat.","28","6","t","d","m","4.00","1","10"
"40","Barbara Alsop","0","large","2012","Owen, P.","Mauve with a large lavender purple eyezone and edge. Named after a very special lady who did so much for the British Hosta and Hemerocallis Society.","38","7","t","s","e,m","10.00","0","0"
"41","Barbara Mitchell","0","large","1984","Pierce","A superbly formed pink flower with wide, overlapping petals. Stout Medal winner in 1992 and still very popular.","20","5","d","s","m","5.00","1","3"
"42","Bayou Bride","0","large","1995","Salter","Pale cream flower with purple eye and green throat. Edged in gold on warmer days. ","25","5","t","s","m","6.50","1","7"
"43","Beautiful Edgings","0","large","1989","Copenhaver","A well named daylily, with ruffled cream flowers turning mauve pink towards the edge.","30","7","d","s","m","5.50","1","8"
"44","Beauty to Behold","0","large","1978","Sellers","A ruffled and recurved flower of lemon yellow with a green throat. Long flowering season.","24","5","d","s","m","4.00","1","7"
"45","Becky Lynn","0","large","1977","Guidry","A gorgeous ruffled flower of deep pink with a green throat and white midribs. Awarded the Stout Medal in 1989.","20","7","d","e","e","4.50","0","0"
"46","Bedarra Island","2018","large","1981","Smith, S.P.","A sunfast medium red with a yellow to green throat. Strong and vigorous.","28","6","t","s","e,m","4.00","1","6"
"47","Beijing","0","large","1987","Munson, R.W.","Very ruffled flowers of pale pastel pink.","24","5","t","s","m","5.00","1","7"
"48","Bela Lugosi","0","large","1995","Hanson","A deep reddish purple flower with a green yellow throat.","33","6","t","s","m","6.50","1","4"
"49","Beloved Deceiver","0","large","1996","Salter","Creamy white flower with a large pink-red eyezone and a green throat.","24","5","t","e","m,l","6.50","1","10"
"50","Ben Adams","0","large","1994","Salter","A beautiful creamy yellow ruffled flower with a green throat. More cream than yellow when it is warm weather and vice versa when cool.","25","6","t","d","e,m","6.50","1","10"
"51","Benchmark","0","large","1980","Munson, R.W.","A mauve lavender flower with pearly white midribs and a cream chartreuse throat. It is lightly ruffled and slightly triangular in form.","30","6","t","e","m","5.00","1","5"
"52","Berlin Red","0","large","1983","Tamberg","A bright red flower with a yellow throat. A good strong daylily that always performs well here. ","30","6","t","d","m","4.50","1","10"
"53","Berlin Tallboy","0","large","1989","Tamberg","Pale orange flower with a deeper halo. Very tall scapes.","72","6","t","d","m","6.00","0","0"
"54","Bernard Thompson","0","large","1969","Coe","Bright golden orange blooms held aloft on tall scapes. Bred and raised in UK.","38","5","d","e","m,l","4.00","1","6"
"55","Bette Davis Eyes","0","large","1982","Kirchhoff, D.","A buff pink flower with a grape purple eyezone and a yellow green throat.","23","6","d","e","e","4.00","1","10"
"56","Betty Benz","2018","large","1987","Harris-Benz","Beautiful cream pink flower with a bright green throat.","32","6","d","d","m","6.00","1","6"
"57","Betty Jenkins","0","large","1989","Wilson","An exquisitely beautiful rich pink ruffled flower. It would be even better if it was just a couple of inches taller.","22","7","d","s","e,m","6.00","0","0"
"58","Betty Warren Woods","0","large","1987","Munson, R.W.","An immaculate,very ruffled cream yellow flower with lemon highlights and a small green throat. Often reblooms.","24","5","t","e","e,m","8.50","1","7"
"59","Betty Woods","0","large","1980","Kirchhoff, D.","Vivid golden yellow double flowers. Long season of bloom when established. Stout Medal winner 1991","26","6","d","d","e","5.00","0","0"
"60","Big Apple ","2018","large","1986","Sellers","Cerise red flower with a prominent white to green throat.","26","5","d","s","e,m","4.50","1","9"
"61","Big Bird","0","large","1978","Griesbach-Klehm","Quite a tall yellow daylily with a large unusual flower. An open, airy form, the flowers seem to float above the foliage.","34","7","t","d","e,m","5.00","1","6"
"62","Big Blue","2018","large","1998","Stamile","A large , very ruffled flower of lavender pink with a yellow green throat.","24","7","t","d","m","6.50","1","8"
"63","Big Snowbird","0","large","1990","Millikan, B.","A ruffled near white flower with a chartreuse throat.","28","6","d","d","m","6.00","1","8"
"64","Bill Norris","0","large","1993","Kirchhoff, D.","Exquisitly formed, beautifully ruffled flowers of bright golden yellow.Stout Medal winner 2002.","29","5","t","s","e,m","6.00","0","0"
"65","Birthday Honours","2018","large","2008","Lytton","A superb, ruffled deep scarlet flower with a green throat. One of the best reds.","25","5","t","d","e,m","9.50","1","10"
"66","Black Adder","0","large","2006","Wyers, J.","A very dark red, or 'near black' flower with a yellow throat. Raised on the Isle of Wight.","42","5","t","s","m","8.50","1","4"
"67","Black Ambrosia","0","large","1991","Salter","A very dark purple with a green throat surrounded by an almost black halo.","28","5","t","s","m","6.50","1","8"
"68","Black Eye ","0","large","1984","Goldner","A mauve pink flower with a deep purple eyezone.","30","5","t","d","m","4.50","1","5"
"69","Black Magic","0","large","1949","Douglas","A real old classic daylily in very dark red. Still popular.","38","5","d","d","m,l","3.00","1","8"
"70","Blessed Again","0","large","1989","Benz ","An ivory cream flower with lighter midribs and a green throat.","24","5","t","d","m","5.00","1","8"
"71","Blessing","0","large","1989","Applegate","This delightful rose and cream bitone has darker pink veins and a yellow to green throat.","22","5","d","s","m","6.50","0","0"
"72","Blizzard Bay","0","large","1995","Salter","One of the best 'near whites ' available, this flower has a narrow gold edge and a yellow to green throat.","28","6","t","s","l","7.00","1","3"
"73","Blonde is Beautiful","0","large","1985","Harris-Benz","A full,ruffled, light creamy lemon yellow flower with a green throat.","28","6","t","s","m","4.50","1","10"
"74","Blood Spot","0","large","1983","Millikan, B.","A good blood red flower with a darker eye and a green yellow throat. A neat flower that shows up later in the summer.","25","5","t","s","m,l","5.00","1","6"
"75","Blue Happiness","0","large","1977","Spalding, W.","A ruffled pink beauty with a silky appearance. The colour deepens towards the petal edges and there is a faint darker halo around the yellow green throat.","21","7","d","s","e","5.50","0","0"
"76","Blushing Angel","0","large","1972","Wild ","A light lemon yellow flower with pink edges to both the sepals and petals. The flowers have a green throat and almost white midribs. This daylily may be old but it produces masses of flowers as the scapes (stems)are branched like a tree making it a valuab","26","6","d","d","m","4.00","1","1"
"77","Bonanza","0","large","1954","Ferrick ","An old favourite, this distinctive orange-yellow flower has a strong maroon eyezone.","34","5","d","d","m","3.00","1","10"
"78","Booger","0","large","1985","Durio","This large pink flower has pearly white midribs, a small green yellow throat and is edged with piecrust ruffling.","26","7","t","e","e,m","5.50","1","5"
"79","Borgia Queen","0","large","1986","Munson, R.W.","A ruffled and slightly recurved flower of silvery mauve pink with a deep mauve eyezone and a lemon to green throat.","26","5","t","e","m,l","6.00","1","5"
"80","Boulderbrook Serenity","0","large","1988","Elliot","A large ,gently ruffled, radiant golden yellow flower with an olive green throat. A great performer here.","18","7","d","s","m","6.50","1","8"
"81","Brand New Lover","0","large","1988","Brooks","Round, flat coral rose bitone with a narrow rouged halo and delicate gold edging on the petals. Good rebloom.","28","5","t","s","e,m","4.50","0","0"
"82","Bright Beacon","0","large","1990","Joiner","An intriguing copper brown blend with a dark olive green throat.An attractive and unusual colour that draws attention.","30","6","d","e","m","5.00","0","0"
"83","Bright Spangles","0","large","1956","Baker","An attractive colour combination of red dusted with gold. A tall plant and aptly named.","42","5","d","d","e,m","4.00","1","10"
"84","Brocaded Gown","0","large","1979","Millikan, B.","A beautifully ruffled and frilly creamy lemon yellow flower. Stout Medal winner 1987.","26","6","d","s","e,m","4.50","1","8"
"85","Bubbling Brown Sugar","0","large","1987","Weston","A yellow cinnamon blend with a brown eyezone and a yellow green throat.","27","6","t","d","m","5.00","1","9"
"86","Burmese Buddah","0","large","1984","Munson, R.W.","A broad, ruffled golden yellow flower of good substance.","32","6","t","e","e,m","5.00","0","0"
"87","Burning Inheritance","0","large","1994","Salter","A large red flower with whitish midribs. Later blooms are more orange red.","28","6","t","s","m","5.50","1","10"
"88","Bursting Bubble","0","large","1998","Shooter, E.","A cream pink blend with a faint lavender rose eye and a light green throat.","28","6","d","s","m","5.00","1","8"
"89","Buzz Bomb","0","large","1961","Hall","A vibrant red flower with an orange influence which really stands out in the garden.","24","5","d","d","e,m","3.00","0","0"
"90","By Myself","0","large","1971","Peck","A large, light gold self. An award winner and a real 'Golden Oldie'.","32","7","t","d","m","4.00","1","6"
"91","Cabbage Flower","0","large","1984","Kirchhoff, D.","An award winning pastel yellow double flower which has proved to be consistent her. Registered as extra early but we find it blooms a bit later.","17","5","d","e","e","5.50","1","10"
"92","California Sunshine","0","large","1985","Chesnik, J.","Bright yellow self, as the name suggests.","33","7","t","s","e,m","5.00","1","8"
"93","Caliphs Robes","0","large","1981","Munson, R.W.","A mauve flower with a plum eyezone and a yellow throat. The sepals are paler than the petals.","28","6","t","e","m","4.50","1","8"
"94","Call Girl","0","large","1980","Peck","Frilly, round and ruffled flowers from 'Dance Ballerina Dance' breeding. The colour is a sparkling melon to apricot.","27","6","t","d","m","4.50","1","6"
"95","Cameroons","0","large","1984","Munson, R.W.","This distinctive daylily is a rich claret purple colour with a chalky pink watermark eyezone and a yellow to green throat. Sepals twist and curl attractively","28","5","t","s","m","7.00","1","9"
"96","Canadian Border Patrol","0","large","1995","Salter","Ivory cream with a purple eyezone and edge. One of the best picotee edged daylilies.","28","6","t","s","e,m","9.50","0","0"
"97","Candor","0","large","1988","Whatley","A majestic, ruffled, creamy white of good substance with a large green throat. Rarely offered for sale.","28","6","t","s","m","6.50","1","6"
"98","Cantique","0","large","1986","Bryant","A fine, clear pink flower with a tiny green throat. A daylily that deserves wider recognition.","22","5","d","d","m","4.00","1","2"
"99","Cape Cod","0","large","1970","Wild ","A deep, wine red flower with a tangerine throat.","34","5","d","d","e,m","4.00","0","0"
"100","Caribbean Frank League","0","large","1993","Talbott","A very dark, almost black, red flower with an even darker black-red eyezone and an emerald green throat.","24","5","t","e","m","6.00","1","9"
"101","Carlotta","0","large","1986","Millikan, B.","A round and ruffled cherry red and pink blend.","25","5","d","s","e,m","5.00","1","8"
"102","Carrot","0","large","1985","Brown, E.W.","A carrot orange flower with lighter midribs.","25","6","t","d","m","4.50","1","8"
"103","Cartwheels","0","large","1956","Fay","Deep yellow flowers, the segments of which resemble the spokes of a wheel. An historic cultivar which was awarded the Stout Medal in 1966","30","5","d","d","m","2.50","1","10"
"104","Casino Gold ","0","large","1991","Brooks","Another good one from Bob Brooks, this sunny yellow gold flower is a sibling to 'Icy Lemon'.","32","6","t","s","m","5.50","1","9"
"105","Catherine Neal","0","large","1981","Carpenter, J.","Stunning deep purple flowers of round and ruffled form. Not as late blooming here as registered but usually mid-late.","30","6","d","d","m,l","4.00","1","6"
"106","Catherine Woodbery","0","large","1967","Childs","An ethereal blend of lavender, pink and cream with a pale green throat. Delicate looking and graceful.","30","6","d","d","m,l","4.00","0","0"
"107","Caviar","0","large","1984","Moldovan","A very dark maroon red with a small yellow green throat.","26","5","t","d","m","4.00","1","10"
"108","Celestial City","0","large","1990","Moldovan","A pastel ivory flower brushed with pale lavender and edged in white.","23","6","t","e","e","5.00","1","3"
"109","Celestial Eyes","0","large","2000","Lambertson","A blend of cream,peach and pink with a stunning slate violet eye and matching edge.","24","6","t","s","e,m","10.00","1","8"
"110","Challenger","0","large","1949","Stout","A tall, dark red daylily which was part of Dr Stout's pioneering work with this colour. ","48","5","d","e","m","4.00","1","6"
"111","Chance Encounter","0","large","1994","Stamile","An attractive and unusual shade of pink, registered as a raspberry rose blend. Petals are ruffled with a hint of a fine gold edge. Really stands out from the crowd.","25","6","t","d","e,m","9.00","0","0"
"112","Charles Johnston","0","large","1983","Gates","A rounded, lightly ruffled cherry red flower with a slight bluish cast and a yellow green throat.","24","6","t","s","e,m","4.00","1","5"
"113","Charlie Pierce Memorial","0","large","1987","Pierce","A round and ruffled mauve-lavender flower with a purple eye and a green throat.","24","6","d","s","e,m","5.50","0","0"
"114","Cherry Cheeks","0","large","1968","Peck","A deep cherry pink flower with a cream throat and contrasting black anthers.","28","6","t","d","m,l","3.00","1","2"
"115","Cherry Eyed Pumpkin","0","large","1991","Kirchhoff, D.","A pumpkin coloured flower with a red eye. Flowers sometimes triangular in shape instead of round.","28","6","t","s","e","5.00","1","9"
"116","Chestnut Lane","0","large","1981","Blyth","An eyecatching daylily from Australia. Tall and stately, the flower is golden-brown with a rich chestnut eyezone and a gold throat.","36","6","t","e","e,m","4.00","0","0"
"117","Chestnut Mountain","0","large","1989","Salter","A ruffled flower of light golden yellow overlaid with tan.","24","6","t","e","e,m","7.50","1","4"
"118","Chicago Antique Tapestry","0","large","1985","Marsh-Klehm","This rose pink flower has darker veining and a texture that imparts a slightly stippled effect.","28","6","t","d","m","6.50","1","4"
"119","Chicago Apache","0","large","1981","Marsh","A ruffled flower of deep scarlet. One of the most popular reds and an excellent performer.","27","5","t","d","m","4.00","1","5"
"120","Chicago Fire","0","large","1983","Marsh","Fiery, orange red flowers in abundance.","34","6","t","s","m","4.00","1","4"
"121","Chicago Knobby","0","large","1974","Marsh","A light purple flower with a deeper centre and tightly ruffled edges. ","22","6","t","s","e,m","4.00","1","10"
"122","Chicago Picotee Memories","0","large","1987","Marsh-Klehm","A creamy white flower with a vivid purple eyezone and matching picotee edge. Still one of the best eyed and edged daylilies for our climate.","30","6","t","d","e,m","5.50","1","5"
"123","Chicago Queen","0","large","1974","Marsh","Mauve-purple flowers are produced in abundance on this fine garden plant. A favourite here.","28","7","t","s","m","4.00","1","4"
"124","Chicago Royal ","0","large","1970","Marsh","Large flowers of a rich plum purple. Taller here than registered. ","24","7","t","s","m","3.50","1","4"
"125","Chicago Royal Robe ","0","large","1977","Marsh","A reddish purple flower with a green throat that remains popular.","25","6","t","s","e","3.50","1","10"
"126","Chicago Silver","2018","large","1973","Marsh ","This flower is mauve with a thin silver edge, a purple halo and a green throat. ","30","6","t","s","m","4.50","1","6"
"127","Chicago Sugarplum","0","large","1980","Marsh-Klehm","A striking purple lavender blend which has a darker halo with perhaps a touch of blue.","20","6","t","d","e,m","5.00","1","6"
"128","Chicago Sunrise","0","large","1969","Marsh","Many broad petalled flowers of bright egg-yolk yellow. ","28","6","t","e","m","3.50","1","8"
"129","China Bride","0","large","1989","Guidry","A study in pink,this bitone has rose pink petals and ceam pink sepals.","24","6","d","e","e","5.50","0","0"
"130","China Lake","0","large","1982","Munson, R.W.","A stunning, mauve influenced, purple flower with a cream yellow throat. Sometimes reblooms as a bonus. ","28","6","t","s","m","6.00","1","6"
"131","Chinese Cloisonne","0","large","1984","Munson, I."," An ivory peach flower enhanced by a slate violet eye and gold throat.","26","5","t","e","e,m","6.50","1","6"
"132","Chinese Temple Flower","0","large","1980","Munson, I.","Deep mauve pink with a large cream throat surrounded by a narrow purple band.","26","5","t","e","e,m","6.00","1","8"
"133","Chocolate Splash","0","large","1995","Shooter","Dark red flowers with a black-purple influence, a darker eye and a green throat","32","5","t","s","m","6.00","1","10"
"134","Christmas Is","0","large","1979","Yancey","Brilliant scarlet flower with a huge lime green throat","26","5","d","d","e,m","4.00","0","0"
"135","Ciarra Vonnie","0","large","1994","Reinke","A salmon gold blend with a striking burgundy eyezone and a green yellow throat.","30","7","d","s","m","5.00","1","10"
"136","Civil Law ","0","large","1990","Millikan, B.","Ruffled flowers that are a blend of cream and greenish yellow.","26","5","d","s","m","4.00","1","10"
"137","Civil Rights","0","large","1988","Millikan, B.","Pale yellow green flower with a deep green throat.","28","5","d","s","m","4.00","1","7"
"138","Classic Edge ","0","large","1998","Stamile","Mauve pink with a purple eye and edge and a yellow to green throat.","26","6","t","e","m","8.00","1","7"
